,,Kitchener - Cambridge - Waterloo (Census Metropolitan Area)  Ontario,,,,,,Prairie Mountain Health (2013 Health Region)  Manitoba
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Well-being,Perceived health; very good or excellent (%),59.6,,58.7,,60.5,,56.8,,58.0,,55.7,
Well-being,Perceived mental health; very good or excellent (%),69.4,,71.2,,67.7,,67.7,,68.1,,67.2,
Well-being,Perceived life stress (%),28.1,,24.7,,31.4,,22.8,,20.3,,25.1,
Health Conditions,Overweight or obese (%),53.9,,60.1,,47.7,,61.2,,68.0,,54.3,
Health Conditions,Overweight (%),37.1,,44,,30.4,,36.9,,43.7,,29.9,
Health Conditions,Obese (%),16.7,,16.1,,17.3,,24.3,,24.2,,24.4,
Health Conditions,Arthritis (%),14.1,,10.3,,17.8,,20.7,,16.9,,24.3,
Health Conditions,Diabetes (%),7.7,E,7,E,8.4,E,7.2,,8.4,,6.0,
Health Conditions,Asthma (%),8.3,,7.3,E,9.4,E,9.7,,8.6,E,10.8,E
Health Conditions,High blood pressure (%),14.5,,14.9,,14,,19.9,,18.7,,21.1,
Health Conditions,Mood disorder (%),11.1,,7,E,15.1,E,8.9,,5.5,E,12.0,
Health Conditions,Pain or discomfort; moderate or severe (%),13.4,,10.4,E,16.3,,12.0,,7.6,,16.2,
Health Conditions,Pain or discomfort that prevents activities (%),13.7,,11.4,E,16,,14.5,,11.0,,17.8,
Health Conditions,Low birth weight (% of live births),,..,,..,,..,,..,,..,,..
Health Conditions,Chronic obstructive pulmonary disease (COPD) (%),4.6,E,5.4,E,,F,4.2,E,2.8,E,5.4,E
Health Conditions,Injuries within the past 12 months causing limitation of normal activities (%),,..,,..,,..,,..,,..,,..
Health Conditions,Injuries in the past 12 months; sought medical attention (%),,..,,..,,..,,..,,..,,..
Health Conditions,Hospitalized stroke event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Hospitalized acute myocardial infarction event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Injury hospitalization (per 100000 population),,..,,..,,..,,..,,..,,..
Health Conditions,Cancer incidence (per 100000 population),401.5,,479.4,,347.1,,,..,,..,,..
Health Conditions,Colon cancer incidence (per 100000 population),50.3,,63.5,,39.5,,,..,,..,,..
Health Conditions,Lung cancer incidence (per 100000 population),49,,60.5,,40.6,,,..,,..,,..
Health Conditions,Breast cancer incidence (per 100000 population),,...,,...,93.3,,,...,,...,,..
Health Conditions,Prostate cancer incidence (per 100000 population),,...,152.4,,,...,,...,,..,,...
Health Behaviours,Current smoker; daily or occasional (%),21.4,,23.4,,19.3,,19.6,,19.3,,20.0,
Health Behaviours,Current smoker; daily (%),15.7,,18.5,,13,,15.9,,16.1,,15.8,
Health Behaviours,Heavy drinking (%),18.9,,27.9,,10.2,,18.4,,26.2,,11.2,
Health Behaviours,Leisure-time physical activity; moderately active or active (%),54.1,,58.3,,50.1,,52.4,,54.0,,50.9,
Health Behaviours,Fruit and vegetable consumption; 5 times or more per day (%),33.6,,28.1,,38.8,,33.9,,26.5,,41.2,
Health Behaviours,Bike helmet use (%),42.3,,38.3,,47.7,,,..,,..,,..
Human Function,Participation and activity limitation; sometimes or often (%),,..,,..,,..,,..,,..,,..
Human Function,Functional health; good to full (%),,..,,..,,..,,..,,..,,..
Accessibility,Influenza immunization (%),27.6,,25.6,,29.6,,26.8,,23.9,,29.5,
Accessibility,Mammography (%),,...,,...,,..,,...,,...,,..
Accessibility,Pap smear (%),,...,,...,,..,,...,,...,,..
Accessibility,Regular medical doctor (%),92.8,,92.6,,92.9,,83.9,,80.8,,86.9,
Accessibility,Wait time for hip fracture surgery (Proportion with surgery within 48 hours) (proportion),,..,,..,,..,,..,,..,,..
Appropriateness,Caesarean section (proportion),,..,,..,,..,,..,,..,,..
Appropriateness,Patients with repeat hospitalizations for mental illness (%),,..,,..,,..,,..,,..,,..
Effectiveness,Ambulatory care sensitive conditions (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,30-day acute myocardial infarction (AMI) in-hospital mortality (rate),,..,,..,,..,,..,,..,,..
Effectiveness,30-day stroke in-hospital mortality (rate),,..,,..,,..,,..,,..,,..
Effectiveness,Self-injury hospitalizations (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,30-day obstetric readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day readmission - patients age 19 and younger (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day surgical readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day medical readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,Potentially avoidable mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,Avoidable mortality from preventable causes (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,Avoidable mortality from treatable causes (per 100000 population),,..,,..,,..,,..,,..,,..
Continuity,30-day readmission rate for mental illness (%),,..,,..,,..,,..,,..,,..
Safety,Hospitalized hip fracture event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Environmental Factors,Second-hand smoke; exposure at home (%),2.9,E,2.5,E,,F,5.2,,6.9,E,3.7,E
Environmental Factors,Second-hand smoke; exposure in vehicles and/or public places (%),15.8,,20.9,,11.1,E,16.4,,20.4,,12.7,E
Deaths,Infant mortality (per 1000 live births),,..,,..,,..,,..,,..,,..
Deaths,Life expectancy at birth (years),,..,,..,,..,,..,,..,,..
Deaths,Life expectancy at age 65 (years),,..,,..,,..,,..,,..,,..
Deaths,Total; all causes of death (per 100000 population),525.8,,644.4,,440.8,,,..,,..,,..
Deaths,  All cancers; deaths (per 100000 population),163.2,,197.4,,140.3,,,..,,..,,..
Deaths,    Colorectal cancer; deaths (per 100000 population),16.1,,21.3,,12.2,,,..,,..,,..
Deaths,    Lung cancer; deaths (per 100000 population),41,,51.2,,33.4,,,..,,..,,..
Deaths,    Breast cancer; deaths (per 100000 population),,...,,...,24.2,,,..,,..,,..
Deaths,    Prostate cancer; deaths (per 100000 population),,...,21,,,...,,..,,..,,..
Deaths,  Circulatory diseases; deaths (per 100000 population),159.8,,204,,129.2,,,..,,..,,..
Deaths,    Ischaemic heart diseases; deaths (per 100000 population),85.4,,119.1,,60.7,,,..,,..,,..
Deaths,    Cerebrovascular diseases; deaths (per 100000 population),34.1,,37.9,,32.8,,,..,,..,,..
Deaths,    All other circulatory diseases; deaths (per 100000 population),40.3,,47.1,,35.7,,,..,,..,,..
Deaths,  Respiratory diseases; deaths (per 100000 population),37,,48.2,,30.4,,,..,,..,,..
Deaths,    Pneumonia and influenza; deaths (per 100000 population),8.2,,9.9,,7.4,,,..,,..,,..
Deaths,    Bronchitis; emphysema and asthma; deaths (per 100000 population),2.5,,2.2,,2.5,,,..,,..,,..
Deaths,    All other respiratory diseases; deaths (per 100000 population),26.3,,36.1,,20.6,,,..,,..,,..
Deaths,  Unintentional injuries; deaths (per 100000 population),21.3,,30.8,,13,,,..,,..,,..
Deaths,  Suicides and self-inflicted injuries; deaths (per 100000 population),6.8,,10.5,,3.2,,,..,,..,,..
Deaths,  Human immunodeficiency virus [HIV] disease; deaths (per 100000 population),0.4,,,x,,x,,..,,..,,..
Deaths,Premature mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Personal Resources,Sense of community belonging (%),60,,61,,59.1,,75.8,,77.0,,74.7,
Personal Resources,Life satisfaction; satisfied or very satisfied (%),89.2,,91.6,,86.9,,91.7,,92.1,,91.3,
Living and Working Conditions,High school graduates aged 25 to 29 (%),89.8,,87.9,,91.6,,82.3,,79.0,,85.7,
Living and Working Conditions,Post-secondary graduates aged 25 to 54 (%),64.7,,63.1,,66.3,,54.7,,49.1,,60.0,
Living and Working Conditions,Unemployment (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Youth unemployment; aged 15 to 24 (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Long-term unemployment (%),4,,3.8,,4.3,,2.8,,3.0,,2.7,
Living and Working Conditions,Low income (%),11.6,,11.1,,12.1,,12.0,,10.4,,13.5,
Living and Working Conditions,Children aged 17 and under living in low income families (%),13.1,,13.2,,12.9,,14.4,,12.5,,16.3,
Community,Total population (%),100,,100,,100,,100.0,,100.0,,100.0,
Community,Large urban population centre population (%),93.2,,93.2,,93.2,,0.0,,0.0,,0.0,
Community,Medium population centre population (%),0,,0,,0,,28.6,,27.9,,29.2,
Community,Small population centre population (%),3.4,,3.4,,3.4,,22.0,,21.2,,22.7,
Community,Rural area population (%),3.4,,3.5,,3.4,,49.5,,51.0,,48.1,
Community,Population density (persons per km<sup>2</sup>),576.68,,,...,,...,2.49,,,...,,...
Community,Dependency ratio (%),,..,,..,,..,,..,,..,,..
Community,Youth; under 20 years; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Seniors; 65 years and over; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Aboriginal population (%),1.4,,1.4,,1.4,,15.9,,15.2,,16.6,
Community,Immigrant population (%),23.1,,22.8,,23.4,,7.1,,7.2,,7.1,
Community,1 year internal migrants (%),4.6,,4.6,,4.5,,5.1,,5.3,,4.9,
Community,5 year internal migrants (%),13.8,,14,,13.7,,15.5,,15.7,,15.4,
Community,Population living within a Metropolitan Influenced Zone (%),100,,100,,100,,34.6,,34.2,,35.0,
Community,Lone-parent families (%),15.8,,3.1,,12.7,,14.5,,3.2,,11.3,
Community,Visible minority population (%),16.2,,16.4,,16.1,,4.6,,5.3,,3.9,
Health System,Contact with a medical doctor in the past 12 months (%),,..,,..,,..,82.7,,78.8,,86.5,
Health System,Coronary artery bypass graft (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Percutaneous coronary intervention (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Cardiac revascularization (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hip replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Knee replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hysterectomy (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Inflow/outflow ratio - Overall (ratio),,..,,..,,..,,..,,..,,..
Health System,Mental illness hospitalization rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Mental illness patient days (per 10000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - General/family physicians (per 100000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - Specialist physicians (per 100000 population),,..,,..,,..,,..,,..,,..

Data quality symbols
.    Not available for any reference period
..   Not available for a specific reference period
...  Not applicable
E    Use with caution
F    Too unreliable to be published
x    Suppressed to meet the confidentiality requirements of the Statistics Act

Source: Statistics Canada.

How to cite: Statistics Canada. 2013. Health Profile.
Statistics Canada Catalogue no. 82-228-XWE. Ottawa. Released December 12 2013.
http://www12.statcan.gc.ca/health-sante/82-228/index.cfm?Lang=E
